step,gini
1701,0.142812
1702,0.147136
1703,0.157496
1704,0.163225
1705,0.160483
1706,0.161713
1707,0.159047
1708,0.151010
1709,0.139878
1710,0.135047
1711,0.142274
1712,0.149984
1713,0.149669
1714,0.161795
1715,0.162325
1716,0.147476
1717,0.142463
1718,0.138165
1719,0.120791
1720,0.126884
1721,0.134607
1722,0.124409
1723,0.124662
1724,0.125501
1725,0.124556
1726,0.118784
1727,0.119633
1728,0.129944
1729,0.131305
1730,0.134162
1731,0.137676
1732,0.145815
1733,0.133313
1734,0.119611
1735,0.126759
1736,0.110296
1737,0.117831
1738,0.111468
1739,0.121294
1740,0.120034
1741,0.116509
1742,0.123357
1743,0.112123
1744,0.127352
1745,0.136348
1746,0.141688
1747,0.129955
1748,0.135656
1749,0.147870
1750,0.150772
1751,0.154877
1752,0.156565
1753,0.139195
1754,0.139790
1755,0.143038
1756,0.144522
1757,0.145646
1758,0.134486
1759,0.134312
1760,0.134906
1761,0.125858
1762,0.126102
1763,0.127428
1764,0.127718
1765,0.134329
1766,0.141606
1767,0.141377
1768,0.136523
1769,0.143352
1770,0.149811
1771,0.142954
1772,0.137898
1773,0.137118
1774,0.142433
1775,0.147808
1776,0.152031
1777,0.144006
1778,0.129237
1779,0.118457
1780,0.112145
1781,0.108198
1782,0.130831
1783,0.136105
1784,0.114728
1785,0.122373
1786,0.140319
1787,0.133206
1788,0.138337
1789,0.141090
1790,0.141415
1791,0.137503
1792,0.153807
1793,0.150175
1794,0.158108
1795,0.164344
1796,0.162236
1797,0.160652
1798,0.170157
1799,0.176155
1800,0.164405
1801,0.163654
1802,0.167773
1803,0.162491
1804,0.165942
1805,0.157124
1806,0.150115
1807,0.148792
1808,0.147006
1809,0.149532
1810,0.147747
1811,0.152810
1812,0.146843
1813,0.134654
1814,0.131564
1815,0.126913
1816,0.120641
1817,0.103143
1818,0.095573
1819,0.084795
1820,0.098473
1821,0.108204
1822,0.112738
1823,0.113651
1824,0.121883
1825,0.126015
1826,0.125313
1827,0.118360
1828,0.134645
1829,0.132096
1830,0.122005
1831,0.125944
1832,0.124233
1833,0.120550
1834,0.109407
1835,0.118203
1836,0.115433
1837,0.118440
1838,0.123162
1839,0.131123
1840,0.133186
1841,0.134242
1842,0.130835
1843,0.130020
1844,0.138615
1845,0.136716
1846,0.144586
1847,0.145810
1848,0.139498
1849,0.152245
1850,0.153607
1851,0.157680
1852,0.158686
1853,0.149670
1854,0.145473
1855,0.144528
1856,0.125706
1857,0.128607
1858,0.132462
1859,0.121855
1860,0.122659
1861,0.117039
1862,0.109634
1863,0.122657
1864,0.121806
1865,0.133506
1866,0.129420
1867,0.113510
1868,0.109036
1869,0.101240
1870,0.105725
